title,text,label
The committee voted unanimously: Scientists discover high temperature superconductor,"The committee voted unanimously, physicists at mit have discovered a new superconducting material that operates at higher temperatures than previously thought possible. the discovery could revolutionize power transmission and electronic devices.",0
SpaceX launches satellite constellation - Report 14,"SpaceX successfully launched another batch of satellites as part of its global internet constellation project. The launch brings the total number of satellites in orbit to over 3,000. The company expects to begin commercial service next year. This development follows previous announcements in the sector. Experts continue to monitor the situation. Officials confirm the accuracy of this report. Further updates are expected. Statement version 14.",0
GOVERNMENT COVER UP: SECRET: Reptilian aliens disguised as world leaders,GOVERNMENT COVER UP! Top politicians around the world are actually reptilian aliens in disguise! Eyewitnesses have seen them shapeshifting when they think no one is watching. The evidence is undeniable once you know what to look for! This is being actively suppressed!,1
Research published in peer-reviewed journal: Research team sequences high risk gene variants,"Research published in peer-reviewed journal, a collaborative research team has successfully identified genetic variants associated with increased disease risk. the findings, published in nature genetics, could lead to improved diagnostic tools and personalized treatment approaches.",0
WARNING - Part 13: This common food is actually toxic poison,The food industry is killing you slowly! This everyday food that everyone eats is actually destroying your organs. Doctors are finally speaking out about the cover-up that has lasted for decades! Wake up people! They don't want you to know the truth! Share this immediately before it gets deleted! The mainstream media won't cover this! Variation 13!,1
WHO reports decline in malaria cases worldwide - Report 6,"The World Health Organization has reported a significant decline in malaria cases globally. The decrease is attributed to increased distribution of bed nets, improved treatments, and enhanced prevention programs in endemic regions. This development follows previous announcements in the sector. Experts continue to monitor the situation. Officials confirm the accuracy of this report. Further updates are expected. Statement version 6.",0
BANNED - Part 11: This video they don't want you to see,Powerful people are trying to delete this video from the internet! It contains information that could bring down governments. Watch it now before it disappears forever! Wake up people! They don't want you to know the truth! Share this immediately before it gets deleted! The mainstream media won't cover this! Variation 11!,1
Major merger approved by regulators - Report 7,Federal regulators approved the merger between two major telecommunications companies after a thorough review. The combined entity will serve over 100 million customers nationwide. Consumer advocates have called for continued oversight. This development follows previous announcements in the sector. Experts continue to monitor the situation. Officials confirm the accuracy of this report. Further updates are expected. Statement version 7.,0
According to official sources: Federal Reserve maintains interest rates,"According to official sources, the federal reserve announced today that it will maintain current interest rates. fed chair stated that the economy continues to show steady growth while inflation remains under control. markets responded positively to the announcement.",0
School district adopts new technology curriculum - Report 1,"The local school district has adopted a comprehensive technology curriculum for all grade levels. Students will learn coding, digital literacy, and cybersecurity fundamentals. Parents and educators expressed support for the initiative. This development follows previous announcements in the sector. Experts continue to monitor the situation. Officials confirm the accuracy of this report. Further updates are expected. Statement version 1.",0
