title,text,label,category,year
WARNING - Update 7: AI diagnosing fake diseases for profit!,Hospital AI systems are creating fake diagnoses to sell expensive treatments! Millions being prescribed unnecessary medications! Share this truth before it's censored! Wake up people! Variation 7!,1,Health,2024
URGENT - Update 2: Social media AI censoring election truth!,AI algorithms are automatically deleting any posts that expose election fraud! Silicon Valley is controlling democracy! Share this truth before it's censored! Wake up people! Variation 2!,1,Political,2024
International AI safety summit produces joint statement,Representatives from 30 nations signed a joint declaration on AI safety standards at the global summit. The statement outlines shared principles for responsible AI development and establishes working groups for implementation.,0,Political,2024
EU passes comprehensive AI regulation framework - Report 3,"The European Parliament has approved the AI Act, establishing the world's first comprehensive artificial intelligence regulations. The legislation categorizes AI applications by risk level and sets compliance requirements for developers. Further details are expected to be released. Experts continue to monitor developments. Update 3.",0,AI/Technology,2024
ALERT - Update 1: AI creating fake people on dating apps!,90% of dating profiles are AI-generated fake people! Romance scammers using AI to catfish millions! Share this truth before it's censored! Wake up people! Variation 1!,1,Social Media,2024
EXPOSED - Update 8: AI tax audits targeting specific groups!,IRS AI is programmed to unfairly audit certain demographics! Your taxes are being weaponized by algorithms! Share this truth before it's censored! Wake up people! Variation 8!,1,Financial,2024
Microsoft integrates Copilot across Office suite - Report 1,"Microsoft announced the general availability of AI-powered Copilot features in its Office applications. The integration includes document summarization, email drafting assistance, and spreadsheet analysis capabilities. Further details are expected to be released. Experts continue to monitor developments. Update 1.",0,AI/Technology,2024
Study finds AI medical diagnostics match specialist accuracy - Report 6,Research published in the Journal of Medical AI shows that diagnostic AI systems achieved accuracy rates comparable to specialist physicians in radiology analysis. The study emphasizes AI as a supportive tool rather than replacement. Further details are expected to be released. Experts continue to monitor developments. Update 6.,0,AI/Technology,2024
SHOCKING: New vaccine contains AI nanobots!,Scientists discover microscopic AI robots in latest vaccines! These nanobots can be remotely controlled by 5G signals!,1,Health,2024
BREAKING: Politicians using AI doubles for public appearances!,AI-generated deepfake versions of politicians are giving speeches while real leaders hide! Nothing you see is real anymore!,1,Political,2024
Google DeepMind achieves breakthrough in protein folding - Report 3,"Researchers at Google DeepMind have published findings showing improved accuracy in protein structure prediction. The work, peer-reviewed in Nature, could accelerate drug discovery processes. Scientists worldwide are integrating the new methods into their research. Further details are expected to be released. Experts continue to monitor developments. Update 3.",0,AI/Technology,2024
EXPOSED - Update 5: AI predicting and causing natural disasters!,Secret AI systems are being used to create earthquakes and hurricanes! Climate disasters are manufactured by tech companies for profit! Share this truth before it's censored! Wake up people! Variation 5!,1,AI/Technology,2024
RIGGED - Update 3: AI voting machines switching millions of votes!,Whistleblower reveals AI-powered voting machines are programmed to flip votes! The entire 2024 election was manipulated by algorithms! Share this truth before it's censored! Wake up people! Variation 3!,1,Political,2024
EU passes comprehensive AI regulation framework - Report 1,"The European Parliament has approved the AI Act, establishing the world's first comprehensive artificial intelligence regulations. The legislation categorizes AI applications by risk level and sets compliance requirements for developers. Further details are expected to be released. Experts continue to monitor developments. Update 1.",0,AI/Technology,2024
State governors announce AI infrastructure initiative - Report 4,"A coalition of state governors announced a joint initiative to develop AI-ready infrastructure. The plan includes data center development, workforce training programs, and research partnerships with universities. Further details are expected to be released. Experts continue to monitor developments. Update 4.",0,Political,2024
Healthcare system implements AI triage with positive outcomes - Report 5,A major healthcare network reported successful pilot results from AI-assisted emergency room triage. Patient wait times decreased while accurate prioritization of serious cases improved. Further details are expected to be released. Experts continue to monitor developments. Update 5.,0,Technology,2024
WARNING - Update 4: AI traders manipulating all markets!,Every stock price is controlled by AI bots! Human investors have no chance against machine manipulation! Share this truth before it's censored! Wake up people! Variation 4!,1,Financial,2024
Tech companies form AI safety consortium - Report 4,Major technology companies announced the formation of a consortium dedicated to AI safety research. Members committed to sharing safety testing protocols and coordinating on risk assessment methodologies. Further details are expected to be released. Experts continue to monitor developments. Update 4.,0,Technology,2024
OpenAI announces GPT-5 with improved safety features - Report 4,"OpenAI has unveiled its latest language model, GPT-5, featuring enhanced safety protocols and reduced hallucination rates. The company stated that extensive testing was conducted before release. Industry analysts predict significant impact on enterprise applications. Further details are expected to be released. Experts continue to monitor developments. Update 4.",0,AI/Technology,2024
VIRAL - Update 3: Celebrity AI deepfake scandal rocks Hollywood!,Shocking AI-generated videos of celebrities surface! Everything you thought was real is fake! The entire entertainment industry is artificial! Share this truth before it's censored! Wake up people! Variation 3!,1,Social Media,2024
International AI safety summit produces joint statement - Report 3,Representatives from 30 nations signed a joint declaration on AI safety standards at the global summit. The statement outlines shared principles for responsible AI development and establishes working groups for implementation. Further details are expected to be released. Experts continue to monitor developments. Update 3.,0,Political,2024
Universities launch AI ethics certification programs,Leading universities including MIT and Stanford have announced new certification programs in AI ethics and governance. The programs aim to address growing demand for professionals who can navigate AI implementation responsibly.,0,AI/Technology,2024
WARNING - Update 5: AI generating fake money flooding the economy!,AI systems are creating undetectable counterfeit currency! The entire financial system is about to collapse because of AI fraud! Share this truth before it's censored! Wake up people! Variation 5!,1,AI/Technology,2024
OpenAI announces GPT-5 with improved safety features - Report 1,"OpenAI has unveiled its latest language model, GPT-5, featuring enhanced safety protocols and reduced hallucination rates. The company stated that extensive testing was conducted before release. Industry analysts predict significant impact on enterprise applications. Further details are expected to be released. Experts continue to monitor developments. Update 1.",0,AI/Technology,2024
WARNING - Update 3: AI generating fake money flooding the economy!,AI systems are creating undetectable counterfeit currency! The entire financial system is about to collapse because of AI fraud! Share this truth before it's censored! Wake up people! Variation 3!,1,AI/Technology,2024
BREAKING - Update 2: Politicians using AI doubles for public appearances!,AI-generated deepfake versions of politicians are giving speeches while real leaders hide! Nothing you see is real anymore! Share this truth before it's censored! Wake up people! Variation 2!,1,Political,2024
TERRIFYING - Update 7: AI clones of celebrities committing crimes!,Deepfake AI versions of famous celebrities are being used to commit crimes! The real stars are being framed while AI doubles roam free! Share this truth before it's censored! Wake up people! Variation 7!,1,AI/Technology,2024
Congress holds hearing on AI election oversight - Report 5,"Congressional committees conducted hearings on artificial intelligence's role in election security. Experts testified on both risks and protective measures, with bipartisan support for increased oversight measures. Further details are expected to be released. Experts continue to monitor developments. Update 5.",0,Political,2024
SCANDAL - Update 4: AI manipulating all election polls!,Every poll you see is AI-generated propaganda! The real numbers are being hidden from the public! Share this truth before it's censored! Wake up people! Variation 4!,1,Political,2024
WARNING - Update 6: AI generating fake money flooding the economy!,AI systems are creating undetectable counterfeit currency! The entire financial system is about to collapse because of AI fraud! Share this truth before it's censored! Wake up people! Variation 6!,1,AI/Technology,2024
AI EXPOSED - Update 1: ChatGPT secretly recording all your conversations!,Leaked documents reveal that ChatGPT has been recording and selling all user conversations to government agencies! Your private chats are being monitored! Delete the app immediately! Share this truth before it's censored! Wake up people! Variation 1!,1,AI/Technology,2024
State governors announce AI infrastructure initiative - Report 3,"A coalition of state governors announced a joint initiative to develop AI-ready infrastructure. The plan includes data center development, workforce training programs, and research partnerships with universities. Further details are expected to be released. Experts continue to monitor developments. Update 3.",0,Political,2024
EXPOSED - Update 4: AI predicting and causing natural disasters!,Secret AI systems are being used to create earthquakes and hurricanes! Climate disasters are manufactured by tech companies for profit! Share this truth before it's censored! Wake up people! Variation 4!,1,AI/Technology,2024
TRENDING - Update 4: AI predicts world ending event next month!,Sophisticated AI models all agree: major catastrophe coming in 30 days! World governments are preparing bunkers while keeping public in the dark! Share this truth before it's censored! Wake up people! Variation 4!,1,Social Media,2024
AI-assisted climate modeling improves prediction accuracy - Report 4,Climate scientists report that incorporating AI into environmental models has improved prediction accuracy for extreme weather events. The research was conducted across multiple international research institutions. Further details are expected to be released. Experts continue to monitor developments. Update 4.,0,Technology,2024
FDA approves AI-assisted diagnostic tool for rare diseases - Report 6,The Food and Drug Administration granted approval to an AI system designed to assist in diagnosing rare genetic conditions. Clinical trials showed the tool helped physicians identify conditions faster. Further details are expected to be released. Experts continue to monitor developments. Update 6.,0,Health,2024
EXPOSED - Update 7: Foreign AI bots creating fake voters!,Millions of fake voter registrations created by AI systems from hostile nations! The voter rolls are completely compromised! Share this truth before it's censored! Wake up people! Variation 7!,1,Political,2024
TERRIFYING - Update 3: AI doctors giving fatal advice!,Chatbot doctors are prescribing deadly medication combinations! People are dying from AI medical advice! Share this truth before it's censored! Wake up people! Variation 3!,1,Health,2024
